company_id,company_name,ctry_code,worldrank,nace2,isic4,year,rd,ns,capex,op,emp,patCN,patEP,patJP,patKR,patUS,TMnEU,TMnUS
1652,BROADCOM,US,49,2611,26,2017,2875.107573,15402.612276,933.623989,2344.977111,14000,22,9,1,0,47,1,4
874,TOSHIBA,JP,110,2611,26,2015,2843.631431,44670.365751,1907.156897,-5584.993865,187809,,,,,,,
885,TAKEDA PHARMACEUTICAL,JP,54,2120,21,2015,2725.972096,14242.490754,384.222541,1183.077227,31168,,,,,,,
1123,LG ELECTRONICS,KR,57,2640,26,2015,2717.220457,44234.849513,1746.289548,933.316885,,,,,,,,
1123,LG ELECTRONICS,KR,57,2640,26,2016,2715.626033,43340.917677,1938.266330,1047.191327,,94,143,19,1161,231,540,382
611,RENAULT,FR,45,2910,29-30,2016,2689.999994,51242.999732,2038.999926,3263.999941,124849,22,22,21,15,21,3,3
478,SAP,DE,43,5829,58-60,2015,2688.999986,20793.000236,636.000012,4251.999781,76986,,,,,,,
1884,DOWDUPONT,US,55,2052,20,2018,2672.487870,75089.044869,3373.797284,8023.576811,98000,90,90,43,38,118,30,22
1914,BOEING,US,56,3030,29-30,2015,2659.387188,83942.309022,2139.736898,6261.132192,161400,,,,,,,
1914,BOEING,US,56,3030,29-30,2018,2650.653478,88320.478797,1503.929379,10372.047313,153000,552,586,345,83,691,3,14
1123,LG ELECTRONICS,KR,57,2640,26,2017,2650.039503,48060.573637,2520.055976,1932.362560,37953,757,1211,204,1354,1496,86,90
1123,LG ELECTRONICS,KR,57,2640,26,2018,2645.954723,48017.814755,3009.346081,2116.116928,37911,918,1297,335,1425,1382,155,128
